user_id,total_revenue,currency,total_posts,average_schedule_seconds,total_twitter_post,total_facebook_post,total_pinterest_post,total_instagram_post,total_instagram_story,total_linkedin_post,total_tiktok_post,suggested_hashtags_count,suggested_time_count
1195893934228347368,15.00,usd,2,640834.5,0,1,0,1,0,0,0,0,2
1220473396019849224,,,,,,,,,,,,5,0
1313995730898728998,9.00,usd,2,406826.0,0,0,0,2,0,0,0,11,0
1320903650613723179,9.00,usd,,,,,,,,,,7,2
152480631727494129,9.00,usd,,,,,,,,,,1,0
157289542718294874,0.00,usd,1,630057.0,0,0,0,1,0,0,0,0,2
1682393024297066671,19.00,usd,,,,,,,,,,0,1
1922618457091019164,29.00,usd,,,,,,,,,,,
1951533103958882835,15.00,usd,1,712854.0,0,0,1,0,0,0,0,14,1
1958024295996923770,,,,,,,,,,,,0,1
2070270094771730565,,,1,684012.0,0,0,0,1,0,0,0,4,1
2117528696846265547,,,3,345640.5,0,0,0,3,0,0,0,15,2
2133640124819773471,,,2,124236.0,0,0,0,2,0,0,0,6,0
2655109950348167232,40.00,usd,5,274823.0,0,2,0,3,0,0,0,14,0
2739054098987454118,90.00,usd,1,,0,0,0,1,0,0,0,0,1
2743473832255919091,90.00,usd,1,,0,0,0,1,0,0,0,0,3
2842758932789827155,9.00,usd,2,558026.0,0,1,0,1,0,0,0,6,1
2999689626091974595,,,1,18043.0,0,0,0,1,0,0,0,,
3002195289167866856,15.00,usd,1,565221.0,0,1,0,0,0,0,0,30,1
3174790634519387028,190.00,usd,2,126018.0,0,0,0,2,0,0,0,2,0
3256390023292413035,190.00,usd,3,243619.66666666666,0,0,0,3,0,0,0,10,0
3427340714752062157,,,2,442856.0,0,1,0,1,0,0,0,12,1
3444674362481973484,19.00,usd,3,446431.0,0,1,0,2,0,0,0,,
3511097829627720683,38.00,usd,,,,,,,,,,0,1
3583793716854974417,98.00,usd,6,612016.5,0,1,1,4,0,0,0,2,1
3686270473417637797,38.00,usd,1,486054.0,0,0,0,1,0,0,0,10,1
3707824907333363380,19.00,usd,1,104428.0,0,0,1,0,0,0,0,,
3781988312676792605,9.00,usd,3,100814.0,0,1,0,2,0,0,0,0,1
3944620216439769261,,,1,356435.0,0,0,0,1,0,0,0,1,0
4069733995570729318,9.00,usd,,,,,,,,,,5,0
4117543648718349933,45.00,usd,,,,,,,,,,33,3
4125975086477329489,300.00,usd,7,486023.4,0,0,1,6,0,0,0,18,5
4282883097922585444,190.00,usd,1,558021.0,0,1,0,0,0,0,0,5,1
4357259408310685372,0.00,usd,2,648026.0,0,2,0,0,0,0,0,29,1
4373199446192568754,,,1,90048.0,0,0,0,1,0,0,0,,
4509377204430123361,19.00,usd,1,482408.0,0,1,0,0,0,0,0,31,1
4744307945190302686,19.00,usd,,,,,,,,,,,
5100789143271550759,,,5,380183.0,0,0,0,5,0,0,0,2,1
5110191298600934311,25.00,usd,3,351025.5,0,0,0,3,0,0,0,31,2
5311635261609665974,,,1,,0,0,0,1,0,0,0,8,2
5488923209828812026,150.00,usd,2,68455.0,0,0,0,2,0,0,0,0,2
561650411724462114,9.00,usd,1,,0,0,0,1,0,0,0,0,1
5684041191776403620,15.00,usd,2,284411.0,0,0,1,1,0,0,0,7,3
6271917815740532503,600.00,usd,,,,,,,,,,9,0
6494097426924295877,49.00,usd,2,223232.0,0,1,0,1,0,0,0,9,1
688037740282044785,30.00,usd,2,280834.5,0,0,1,1,0,0,0,7,1
6923709372062889978,,,,,,,,,,,,6,0
7001030465535527446,,,3,68401.0,0,1,0,2,0,0,0,2,3
7047082167464649618,,,1,,0,1,0,0,0,0,0,0,1
7220860116122120248,25.00,usd,2,277251.0,0,0,0,2,0,0,0,9,3
7283112053726144537,19.00,usd,,,,,,,,,,0,1
7649370553909612607,,,,,,,,,,,,6,0
7765507363485048542,400.00,usd,3,698433.0,0,0,1,2,0,0,0,2,1
7807058478527672228,,,2,165642.5,0,0,0,2,0,0,0,0,1
8115365864237515791,200.00,usd,,,,,,,,,,10,0
8225362814484120579,0.00,usd,2,466213.0,0,0,0,2,0,0,0,14,0
8247749805594434618,9.00,usd,1,673202.0,0,0,0,1,0,0,0,,
8326112770349030939,,,,,,,,,,,,13,2
8378036533148850043,19.00,usd,,,,,,,,,,6,0
8483498532638157244,9.00,usd,,,,,,,,,,6,0
8508962530736396727,,,1,,0,0,0,1,0,0,0,1,1
8538842700504188029,9.00,usd,1,,0,0,1,0,0,0,0,3,0
8662939664657001134,38.00,usd,1,,0,0,0,1,0,0,0,9,0
8998303789114510187,19.00,usd,1,,0,0,0,1,0,0,0,0,2
987399057231967050,,,1,,0,1,0,0,0,0,0,,
-1178032861184708701,3.94,usd,2,385218.0,0,0,0,2,0,0,0,0,1
-1401968237690796424,90.00,usd,,,,,,,,,,1,0
-1525211491752469201,19.00,usd,4,255626.66666666666,0,1,3,0,0,0,0,0,1
-1798192738157442268,38.00,usd,1,622816.0,0,0,1,0,0,0,0,2,0
-1812735228336018501,19.00,usd,1,,0,0,0,1,0,0,0,1,0
-1931516941380749716,30.00,usd,2,621040.0,0,1,0,1,0,0,0,,
-2015928075845212882,,,1,561603.0,0,0,1,0,0,0,0,0,1
-2043884369984307608,19.00,usd,2,365452.5,0,0,0,2,0,0,0,,
-2055024853376017653,30.00,usd,,,,,,,,,,1,2
-2090927965442853221,8.19,usd,1,,0,1,0,0,0,0,0,30,0
-2106351803855495616,34.35,usd,2,,0,0,0,2,0,0,0,12,3
-2129886848558251248,9.00,usd,,,,,,,,,,6,2
-2361142896248790685,,,,,,,,,,,,0,2
-2516344407226519992,9.00,usd,2,633642.0,0,0,0,2,0,0,0,8,1
-2534645802876617583,30.00,usd,6,342037.0,0,1,1,3,1,0,0,18,2
-2610747888064472607,9.00,usd,2,493242.5,0,1,0,1,0,0,0,1,2
-2999853882331845261,60.00,usd,1,,0,1,0,0,0,0,0,1,1
-3033278740475646099,,,,,,,,,,,,0,1
-3083793531920401225,25.00,usd,1,,0,0,0,1,0,0,0,0,1
-3238817710736576410,,,2,383433.5,0,1,0,1,0,0,0,26,2
-3349279446229388414,,,1,,0,1,0,0,0,0,0,,
-3475310782798333983,20.00,usd,,,,,,,,,,1,1
-3486855136379845905,19.00,usd,,,,,,,,,,13,0
-3549495884947451580,50.00,usd,,,,,,,,,,7,1
-3552440061124492089,19.00,usd,1,,0,0,0,1,0,0,0,,
-3664013397829023379,19.00,usd,2,298813.0,0,1,0,1,0,0,0,,
-3701845664509487947,0.00,usd,1,,0,0,0,1,0,0,0,10,0
-3720859020417616854,15.00,usd,1,,0,0,0,1,0,0,0,5,0
-3971035502065845784,19.00,usd,1,187210.0,0,1,0,0,0,0,0,8,0
-3987632900579607087,,,2,,0,0,0,2,0,0,0,7,0
-400203997771277893,,,1,,0,1,0,0,0,0,0,0,1
-4035641782702096094,90.00,usd,1,93607.0,0,0,1,0,0,0,0,7,1
-4355115227229013321,9.00,usd,2,158417.0,0,1,0,1,0,0,0,0,2
-435789993971633535,19.00,usd,4,380430.3333333333,0,0,0,4,0,0,0,5,0
-443562896788552928,38.00,usd,4,347434.0,0,3,1,0,0,0,0,31,0
-4514243646195402877,,,,,,,,,,,,2,2
-4614595533449910409,,,,,,,,,,,,15,0
-4938990986078469829,15.00,usd,2,505831.0,0,0,0,2,0,0,0,0,1
-5107142306564669603,38.00,usd,2,655233.0,0,0,0,2,0,0,0,2,0
-5147767731597858231,84.00,usd,2,486016.0,0,1,0,1,0,0,0,34,1
-5167585167915285282,38.00,usd,1,306028.0,0,0,0,1,0,0,0,25,1
-5478663158026603757,30.00,usd,,,,,,,,,,5,4
-5657705392951845138,,,1,,0,0,1,0,0,0,0,,
-568011827727865261,90.00,usd,3,334813.0,0,1,1,1,0,0,0,9,1
-5702386208947658265,147.00,usd,3,396040.3333333333,0,0,1,2,0,0,0,31,1
-5839698285171944961,290.00,usd,,,,,,,,,,1,0
-6057170630134392532,29.00,usd,3,285633.3333333333,0,1,0,2,0,0,0,6,0
-6136765500440564336,490.00,usd,,,,,,,,,,10,0
-623365077084386692,58.00,usd,2,376226.5,0,0,0,2,0,0,0,4,3
-6333369057682730353,30.00,usd,2,61258.0,0,0,0,2,0,0,0,17,0
-6346558196302149553,,,,,,,,,,,,0,1
-6464662086640971068,9.00,usd,1,298855.0,0,0,0,1,0,0,0,,
-6682663074134838007,,,1,342017.0,0,0,1,0,0,0,0,20,0
-678875555819594229,150.00,usd,1,,0,0,0,1,0,0,0,,
-693079010331212582,,,,,,,,,,,,3,2
-6941395110778041498,0.00,usd,3,330044.6666666667,0,1,0,2,0,0,0,21,4
-7035816325905668989,,,1,,0,0,0,1,0,0,0,0,1
-7098318033566170941,190.00,usd,1,590442.0,0,0,0,1,0,0,0,,
-7501448697980443110,,,,,,,,,,,,8,0
-7600517216487687827,,,2,176407.5,0,0,1,0,1,0,0,2,0
-7695907067001809053,19.00,usd,1,169259.0,0,1,0,0,0,0,0,0,1
-7760580465809113407,,,,,,,,,,,,1,0
-7761829137411226896,15.00,usd,1,684020.0,0,1,0,0,0,0,0,12,0
-7842492878175358705,6.85,usd,1,302420.0,0,0,0,1,0,0,0,9,0
-803955327324357765,90.00,usd,,,,,,,,,,0,1
-8427775800277161523,19.00,usd,3,343817.5,0,0,0,3,0,0,0,0,1
-8461887109932855043,40.00,usd,3,338419.5,0,1,0,2,0,0,0,30,1
-847508496426124434,38.00,usd,1,309608.0,0,0,0,1,0,0,0,0,1
-8548069178334921131,19.00,usd,1,435640.0,0,0,0,1,0,0,0,12,1
-8557234903335220488,9.00,usd,1,115242.0,0,0,0,1,0,0,0,0,3
-8824239210848705382,50.00,usd,3,118836.0,0,1,0,2,0,0,0,1,0
-8905993124090095030,9.00,usd,1,662431.0,0,0,0,1,0,0,0,0,2
-902207941805294383,9.00,usd,4,390636.25,0,0,1,3,0,0,0,0,2
-9143512785776062996,19.00,usd,,,,,,,,,,,
1003338603482552087,,,2,376210.5,0,0,0,2,0,0,0,0,3
103862070483527214,,,3,363621.0,0,1,1,1,0,0,0,16,0
1069757536417568045,19.00,usd,,,,,,,,,,16,1
1130665260844787181,9.00,usd,,,,,,,,,,,
1186492897008521298,90.00,usd,1,212430.0,0,0,0,1,0,0,0,3,0
137793475410803565,0.00,usd,2,,0,0,0,1,1,0,0,33,0
